dataset,model_type,activation,bn,aug,seed,test_acc,train_time_minutes,num_params
eurosat,equivariant,fourier_relu_16,Normbn,True,2,0.972963,87.12,1243162
eurosat,equivariant,fourier_relu_16,Normbn,True,3,0.966111,101.75,1243162
eurosat,equivariant,fourier_relu_16,Normbn,True,4,0.976111,87.98,1243162
eurosat,equivariant,fourierbn_relu_16,Normbn,False,0,0.961667,79.38,1242157
eurosat,equivariant,fourierbn_relu_16,Normbn,False,1,0.964074,79.42,1242157
eurosat,equivariant,fourierbn_relu_16,Normbn,False,2,0.958704,87.02,1242157
eurosat,equivariant,fourierbn_relu_16,Normbn,False,3,0.97537,80.77,1242157
eurosat,equivariant,fourierbn_relu_16,Normbn,False,4,0.972778,92.95,1242157
eurosat,equivariant,fourierbn_relu_16,Normbn,True,0,0.973148,87.28,1242157
eurosat,equivariant,fourierbn_relu_16,Normbn,True,1,0.96963,80.83,1242157
eurosat,equivariant,fourierbn_relu_16,Normbn,True,2,0.976852,89.38,1242157
eurosat,equivariant,fourierbn_relu_16,Normbn,True,3,0.973333,81.07,1242157
eurosat,equivariant,fourierbn_relu_16,Normbn,True,4,0.975185,91.13,1242157
eurosat,equivariant,fourierbn_relu_32,Normbn,False,0,0.972963,79.15,1242157
eurosat,equivariant,fourierbn_relu_32,Normbn,False,1,0.962037,123.4,1242157
eurosat,equivariant,fourierbn_relu_32,Normbn,False,2,0.960556,79.13,1242157
eurosat,equivariant,fourierbn_relu_32,Normbn,False,3,0.963333,124.1,1242157
eurosat,equivariant,fourierbn_relu_32,Normbn,False,4,0.96037,79.18,1242157
eurosat,equivariant,fourierbn_relu_32,Normbn,True,0,0.972593,79.1,1242157
eurosat,equivariant,fourierbn_relu_32,Normbn,True,1,0.97537,125.02,1242157
eurosat,equivariant,fourierbn_relu_32,Normbn,True,2,0.972963,79.13,1242157
eurosat,equivariant,fourierbn_relu_32,Normbn,True,3,0.974074,122.82,1242157
eurosat,equivariant,fourierbn_relu_32,Normbn,True,4,0.977222,79.18,1242157
eurosat,equivariant,gated_shared_sigmoid,Normbn,False,0,0.95463,78.48,1260666
eurosat,equivariant,gated_shared_sigmoid,Normbn,False,1,0.953704,69.85,1260666
eurosat,equivariant,gated_shared_sigmoid,Normbn,False,2,0.951111,68.6,1260666
eurosat,equivariant,gated_shared_sigmoid,Normbn,False,3,0.960556,76.98,1260666
eurosat,equivariant,gated_shared_sigmoid,Normbn,False,4,0.952963,70.05,1260666
eurosat,equivariant,gated_shared_sigmoid,Normbn,True,0,0.968518,71.3,1260666
eurosat,equivariant,gated_shared_sigmoid,Normbn,True,1,0.967407,77.33,1260666
eurosat,equivariant,gated_shared_sigmoid,Normbn,True,2,0.963519,69.65,1260666
eurosat,equivariant,gated_shared_sigmoid,Normbn,True,3,0.963889,78.23,1260666
eurosat,equivariant,gated_shared_sigmoid,Normbn,True,4,0.96,70.82,1260666
eurosat,equivariant,gated_sigmoid,Normbn,False,0,0.957778,89.8,1292682
eurosat,equivariant,gated_sigmoid,Normbn,False,1,0.955185,77.52,1292682
eurosat,equivariant,gated_sigmoid,Normbn,False,2,0.962963,89.58,1292682
eurosat,equivariant,gated_sigmoid,Normbn,False,3,0.958519,78.1,1292682
eurosat,equivariant,gated_sigmoid,Normbn,False,4,0.958333,86.48,1292682
eurosat,equivariant,gated_sigmoid,Normbn,True,0,0.972222,78.12,1292682
