dataset,model_type,activation,bn,aug,seed,test_acc,train_time_minutes,num_params,invariance_error
colorectal_hist,resnet18,norm_relu,Normbn,True,2,0.968,4.52,11180616,0.2844341695308685
colorectal_hist,resnet18,norm_relu,Normbn,True,3,0.970667,4.53,11180616,0.2669552564620971
colorectal_hist,resnet18,norm_relu,Normbn,True,4,0.970667,4.52,11180616,0.2731673419475555
eurosat,equivariant,fourier_relu_16,Normbn,False,0,0.96,98.98,1243162,0.0839249417185783
eurosat,equivariant,fourier_relu_16,Normbn,False,1,0.972963,89.53,1243162,0.0847968682646751
eurosat,equivariant,fourier_relu_16,Normbn,False,2,0.963889,104.48,1243162,0.0797812938690185
eurosat,equivariant,fourier_relu_16,Normbn,False,3,0.959259,89.87,1243162,0.0846291184425354
eurosat,equivariant,fourier_relu_16,Normbn,False,4,0.972593,102.43,1243162,0.0837055966258049
eurosat,equivariant,fourier_relu_16,Normbn,True,0,0.973148,97.15,1243162,0.0744378045201301
eurosat,equivariant,fourier_relu_16,Normbn,True,1,0.971482,88.0,1243162,0.0725927874445915
eurosat,equivariant,fourier_relu_16,Normbn,True,2,0.972963,87.12,1243162,0.0722082555294036
eurosat,equivariant,fourier_relu_16,Normbn,True,3,0.966111,101.75,1243162,0.0779873430728912
eurosat,equivariant,fourier_relu_16,Normbn,True,4,0.976111,87.98,1243162,0.0728114992380142
eurosat,equivariant,fourierbn_relu_16,Normbn,False,0,0.961667,79.38,1242157,0.07151610404253
eurosat,equivariant,fourierbn_relu_16,Normbn,False,1,0.964074,79.42,1242157,0.0712164342403411
eurosat,equivariant,fourierbn_relu_16,Normbn,False,2,0.958704,87.02,1242157,0.0704856812953949
eurosat,equivariant,fourierbn_relu_16,Normbn,False,3,0.97537,80.77,1242157,0.0758150517940521
eurosat,equivariant,fourierbn_relu_16,Normbn,False,4,0.972778,92.95,1242157,0.0734122917056083
eurosat,equivariant,fourierbn_relu_16,Normbn,True,0,0.973148,87.28,1242157,0.0629853382706642
eurosat,equivariant,fourierbn_relu_16,Normbn,True,1,0.96963,80.83,1242157,0.0643576085567474
eurosat,equivariant,fourierbn_relu_16,Normbn,True,2,0.976852,89.38,1242157,0.0635883659124374
eurosat,equivariant,fourierbn_relu_16,Normbn,True,3,0.973333,81.07,1242157,0.0670817270874977
eurosat,equivariant,fourierbn_relu_16,Normbn,True,4,0.975185,91.13,1242157,0.0633516684174537
eurosat,equivariant,fourierbn_relu_32,Normbn,False,0,0.972963,79.15,1242157,0.0741978883743286
eurosat,equivariant,fourierbn_relu_32,Normbn,False,1,0.962037,123.4,1242157,0.0714668482542038
eurosat,equivariant,fourierbn_relu_32,Normbn,False,2,0.960556,79.13,1242157,0.0712769404053688
eurosat,equivariant,fourierbn_relu_32,Normbn,False,3,0.963333,124.1,1242157,0.0752069503068924
eurosat,equivariant,fourierbn_relu_32,Normbn,False,4,0.96037,79.18,1242157,0.0730347335338592
eurosat,equivariant,fourierbn_relu_32,Normbn,True,0,0.972593,79.1,1242157,0.0614327639341354
eurosat,equivariant,fourierbn_relu_32,Normbn,True,1,0.97537,125.02,1242157,0.0617664009332656
eurosat,equivariant,fourierbn_relu_32,Normbn,True,2,0.972963,79.13,1242157,0.0646364763379097
eurosat,equivariant,fourierbn_relu_32,Normbn,True,3,0.974074,122.82,1242157,0.0651256144046783
eurosat,equivariant,fourierbn_relu_32,Normbn,True,4,0.977222,79.18,1242157,0.0654823780059814
eurosat,equivariant,gated_shared_sigmoid,Normbn,False,0,0.95463,78.48,1260666,0.0987314283847808
eurosat,equivariant,gated_shared_sigmoid,Normbn,False,1,0.953704,69.85,1260666,0.0972071141004562
eurosat,equivariant,gated_shared_sigmoid,Normbn,False,2,0.951111,68.6,1260666,0.097397394478321
eurosat,equivariant,gated_shared_sigmoid,Normbn,False,3,0.960556,76.98,1260666,0.0976815223693847
eurosat,equivariant,gated_shared_sigmoid,Normbn,False,4,0.952963,70.05,1260666,0.0971092209219932
eurosat,equivariant,gated_shared_sigmoid,Normbn,True,0,0.968518,71.3,1260666,0.0892987549304962
eurosat,equivariant,gated_shared_sigmoid,Normbn,True,1,0.967407,77.33,1260666,0.0912908166646957
eurosat,equivariant,gated_shared_sigmoid,Normbn,True,2,0.963519,69.65,1260666,0.0899970754981041
eurosat,equivariant,gated_shared_sigmoid,Normbn,True,3,0.963889,78.23,1260666,0.0826213881373405
eurosat,equivariant,gated_shared_sigmoid,Normbn,True,4,0.96,70.82,1260666,0.0891115665435791
eurosat,equivariant,gated_sigmoid,Normbn,False,0,0.957778,89.8,1292682,0.1127983182668685
eurosat,equivariant,gated_sigmoid,Normbn,False,1,0.955185,77.52,1292682,0.116078220307827
eurosat,equivariant,gated_sigmoid,Normbn,False,2,0.962963,89.58,1292682,0.1206589788198471
eurosat,equivariant,gated_sigmoid,Normbn,False,3,0.958519,78.1,1292682,0.117987647652626
eurosat,equivariant,gated_sigmoid,Normbn,False,4,0.958333,86.48,1292682,0.1212473213672638
eurosat,equivariant,gated_sigmoid,Normbn,True,0,0.972222,78.12,1292682,0.102519616484642
eurosat,equivariant,gated_sigmoid,Normbn,True,1,0.966852,87.42,1292682,0.1010192781686782
eurosat,equivariant,gated_sigmoid,Normbn,True,2,0.964074,77.83,1292682,0.103327140212059
eurosat,equivariant,gated_sigmoid,Normbn,True,3,0.961667,87.08,1292682,0.1056867986917495
eurosat,equivariant,gated_sigmoid,Normbn,True,4,0.962778,77.58,1292682,0.107055626809597
eurosat,equivariant,norm_relu,Normbn,False,0,0.942593,81.85,1244167,0.1371329128742218
eurosat,equivariant,norm_relu,Normbn,False,1,0.94537,94.17,1244167,0.1338294148445129
eurosat,equivariant,norm_relu,Normbn,False,2,0.954259,81.93,1244167,0.1332542896270752
eurosat,equivariant,norm_relu,Normbn,False,3,0.952593,94.42,1244167,0.1355885565280914
eurosat,equivariant,norm_relu,Normbn,False,4,0.947222,82.05,1244167,0.1291648000478744
eurosat,equivariant,norm_relu,Normbn,True,0,0.943519,91.63,1244167,0.128663033246994
eurosat,equivariant,norm_relu,Normbn,True,1,0.95963,81.43,1244167,0.1192421913146972
eurosat,equivariant,norm_relu,Normbn,True,2,0.960556,90.98,1244167,0.1205188408493995
eurosat,equivariant,norm_relu,Normbn,True,3,0.954259,81.83,1244167,0.1198533102869987
eurosat,equivariant,norm_relu,Normbn,True,4,0.957963,95.3,1244167,0.1195417791604995
eurosat,equivariant,normbn_relu,Normbn,False,0,0.949074,76.55,1244167,0.1603370457887649
eurosat,equivariant,normbn_relu,Normbn,False,1,0.942407,84.1,1244167,0.1701808273792266
eurosat,equivariant,normbn_relu,Normbn,False,2,0.947407,76.48,1244167,0.1686890125274658
eurosat,equivariant,normbn_relu,Normbn,False,3,0.958704,84.08,1244167,0.1753498166799545
eurosat,equivariant,normbn_relu,Normbn,False,4,0.946481,76.1,1244167,0.1587384790182113
eurosat,equivariant,normbn_relu,Normbn,True,0,0.963889,75.47,1244167,0.1435530036687851
eurosat,equivariant,normbn_relu,Normbn,True,1,0.960741,85.9,1244167,0.1444155126810073
eurosat,equivariant,normbn_relu,Normbn,True,2,0.962037,75.75,1244167,0.1476168483495712
eurosat,equivariant,normbn_relu,Normbn,True,3,0.965926,88.55,1244167,0.1449777334928512
eurosat,equivariant,normbn_relu,Normbn,True,4,0.961852,75.12,1244167,0.1453520953655243
eurosat,equivariant,normbnvec_relu,Normbn,False,0,0.952222,73.52,1244167,0.1516211628913879
eurosat,equivariant,normbnvec_relu,Normbn,False,1,0.954444,80.85,1244167,0.1466028392314911
eurosat,equivariant,normbnvec_relu,Normbn,False,2,0.95037,74.53,1244167,0.1547347456216812
eurosat,equivariant,normbnvec_relu,Normbn,False,3,0.958889,81.23,1244167,0.1568586081266403
eurosat,equivariant,normbnvec_relu,Normbn,False,4,0.94963,73.28,1244167,0.1449429094791412
eurosat,equivariant,normbnvec_relu,Normbn,True,0,0.961481,80.45,1244167,0.1394585520029068
eurosat,equivariant,normbnvec_relu,Normbn,True,1,0.96537,73.85,1244167,0.1378550678491592
eurosat,equivariant,normbnvec_relu,Normbn,True,2,0.952963,79.68,1244167,0.1415251046419143
eurosat,equivariant,normbnvec_relu,Normbn,True,3,0.956852,73.0,1244167,0.1404899954795837
eurosat,equivariant,normbnvec_relu,Normbn,True,4,0.952222,79.38,1244167,0.1379308402538299
eurosat,resnet18,norm_relu,Normbn,False,0,0.899444,8.42,11181642,0.3612670302391052
eurosat,resnet18,norm_relu,Normbn,False,1,0.908704,5.68,11181642,0.3376286029815674
