dataset,model_type,activation,bn,aug,seed,test_acc,train_time_minutes,num_params,invariance_error
eurosat,equivariant,fourier_relu_16,Normbn,False,2,0.963889,104.48,1243162,0.0677684843540191
eurosat,equivariant,fourier_relu_16,Normbn,False,3,0.959259,89.87,1243162,0.0717672705650329
eurosat,equivariant,fourier_relu_16,Normbn,False,4,0.972593,102.43,1243162,0.0713755413889885
eurosat,equivariant,fourier_relu_16,Normbn,True,0,0.973148,97.15,1243162,0.062903493642807
eurosat,equivariant,fourier_relu_16,Normbn,True,1,0.971482,88.0,1243162,0.0608775094151496
eurosat,equivariant,fourier_relu_16,Normbn,True,2,0.972963,87.12,1243162,0.0608725920319557
eurosat,equivariant,fourier_relu_16,Normbn,True,3,0.966111,101.75,1243162,0.0660843104124069
eurosat,equivariant,fourier_relu_16,Normbn,True,4,0.976111,87.98,1243162,0.0608851611614227
eurosat,equivariant,fourierbn_relu_16,Normbn,False,0,0.961667,79.38,1242157,0.0611036270856857
eurosat,equivariant,fourierbn_relu_16,Normbn,False,1,0.964074,79.42,1242157,0.0613637566566467
eurosat,equivariant,fourierbn_relu_16,Normbn,False,2,0.958704,87.02,1242157,0.0603349730372428
eurosat,equivariant,fourierbn_relu_16,Normbn,False,3,0.97537,80.77,1242157,0.0644328147172927
eurosat,equivariant,fourierbn_relu_16,Normbn,False,4,0.972778,92.95,1242157,0.062647707760334
eurosat,equivariant,fourierbn_relu_16,Normbn,True,0,0.973148,87.28,1242157,0.0534675642848014
eurosat,equivariant,fourierbn_relu_16,Normbn,True,1,0.96963,80.83,1242157,0.0546766817569732
eurosat,equivariant,fourierbn_relu_16,Normbn,True,2,0.976852,89.38,1242157,0.0535556077957153
eurosat,equivariant,fourierbn_relu_16,Normbn,True,3,0.973333,81.07,1242157,0.0569367334246635
eurosat,equivariant,fourierbn_relu_16,Normbn,True,4,0.975185,91.13,1242157,0.0532151758670806
eurosat,equivariant,fourierbn_relu_32,Normbn,False,0,0.972963,79.15,1242157,0.0633056163787841
eurosat,equivariant,fourierbn_relu_32,Normbn,False,1,0.962037,123.4,1242157,0.0613613948225975
eurosat,equivariant,fourierbn_relu_32,Normbn,False,2,0.960556,79.13,1242157,0.0612333565950393
eurosat,equivariant,fourierbn_relu_32,Normbn,False,3,0.963333,124.1,1242157,0.0650025084614753
eurosat,equivariant,fourierbn_relu_32,Normbn,False,4,0.96037,79.18,1242157,0.0633013695478439
eurosat,equivariant,fourierbn_relu_32,Normbn,True,0,0.972593,79.1,1242157,0.0521820187568664
eurosat,equivariant,fourierbn_relu_32,Normbn,True,1,0.97537,125.02,1242157,0.0519866421818733
eurosat,equivariant,fourierbn_relu_32,Normbn,True,2,0.972963,79.13,1242157,0.0554187707602977
eurosat,equivariant,fourierbn_relu_32,Normbn,True,3,0.974074,122.82,1242157,0.0553324036300182
eurosat,equivariant,fourierbn_relu_32,Normbn,True,4,0.977222,79.18,1242157,0.0552127584815025
eurosat,equivariant,gated_shared_sigmoid,Normbn,False,0,0.95463,78.48,1260666,0.0830230042338371
eurosat,equivariant,gated_shared_sigmoid,Normbn,False,1,0.953704,69.85,1260666,0.0813083797693252
eurosat,equivariant,gated_shared_sigmoid,Normbn,False,2,0.951111,68.6,1260666,0.0817644298076629
eurosat,equivariant,gated_shared_sigmoid,Normbn,False,3,0.960556,76.98,1260666,0.0813053697347641
eurosat,equivariant,gated_shared_sigmoid,Normbn,False,4,0.952963,70.05,1260666,0.0815250873565673
eurosat,equivariant,gated_shared_sigmoid,Normbn,True,0,0.968518,71.3,1260666,0.0747362524271011
eurosat,equivariant,gated_shared_sigmoid,Normbn,True,1,0.967407,77.33,1260666,0.076309360563755
eurosat,equivariant,gated_shared_sigmoid,Normbn,True,2,0.963519,69.65,1260666,0.0746426284313201
eurosat,equivariant,gated_shared_sigmoid,Normbn,True,3,0.963889,78.23,1260666,0.0685711503028869
eurosat,equivariant,gated_shared_sigmoid,Normbn,True,4,0.96,70.82,1260666,0.0748352408409118
eurosat,equivariant,gated_sigmoid,Normbn,False,0,0.957778,89.8,1292682,0.0935497879981994
eurosat,equivariant,gated_sigmoid,Normbn,False,1,0.955185,77.52,1292682,0.0962641835212707
eurosat,equivariant,gated_sigmoid,Normbn,False,2,0.962963,89.58,1292682,0.0998451858758926
eurosat,equivariant,gated_sigmoid,Normbn,False,3,0.958519,78.1,1292682,0.097903624176979
eurosat,equivariant,gated_sigmoid,Normbn,False,4,0.958333,86.48,1292682,0.1003233790397644
eurosat,equivariant,gated_sigmoid,Normbn,True,0,0.972222,78.12,1292682,0.0854085683822631
eurosat,equivariant,gated_sigmoid,Normbn,True,1,0.966852,87.42,1292682,0.0839604884386062
eurosat,equivariant,gated_sigmoid,Normbn,True,2,0.964074,77.83,1292682,0.0866089016199112
eurosat,equivariant,gated_sigmoid,Normbn,True,3,0.961667,87.08,1292682,0.0879798531532287
eurosat,equivariant,gated_sigmoid,Normbn,True,4,0.962778,77.58,1292682,0.0893634259700775
eurosat,equivariant,norm_relu,Normbn,False,0,0.942593,81.85,1244167,0.1154277622699737
eurosat,equivariant,norm_relu,Normbn,False,1,0.94537,94.17,1244167,0.1139915362000465
eurosat,equivariant,norm_relu,Normbn,False,2,0.954259,81.93,1244167,0.1129848584532737
eurosat,equivariant,norm_relu,Normbn,False,3,0.952593,94.42,1244167,0.1146997511386871
eurosat,equivariant,norm_relu,Normbn,False,4,0.947222,82.05,1244167,0.1100967675447464
eurosat,equivariant,norm_relu,Normbn,True,0,0.943519,91.63,1244167,0.1074538379907608
eurosat,equivariant,norm_relu,Normbn,True,1,0.95963,81.43,1244167,0.1008749157190322
eurosat,equivariant,norm_relu,Normbn,True,2,0.960556,90.98,1244167,0.1014309599995613
eurosat,equivariant,norm_relu,Normbn,True,3,0.954259,81.83,1244167,0.1014227196574211
eurosat,equivariant,norm_relu,Normbn,True,4,0.957963,95.3,1244167,0.100512184202671
eurosat,equivariant,normbn_relu,Normbn,False,0,0.949074,76.55,1244167,0.1315006613731384
eurosat,equivariant,normbn_relu,Normbn,False,1,0.942407,84.1,1244167,0.1408440172672271
eurosat,equivariant,normbn_relu,Normbn,False,2,0.947407,76.48,1244167,0.1374616473913192
